Date,Type,S0,K,T,sigma,r,Close Price,LTP,BSM Price,Error vs Close,Error vs LTP,Percent Error vs Close,Percent Error vs LTP
2025-11-12,PE,25875.8,26500.0,34.0,0.07474485900131601,0.1,533.05,533.05,439.4,-93.65,-93.65,-17.56871,-17.56871
2025-11-12,CE,25875.8,25900.0,34.0,0.07474485900131601,0.1,468.9,468.9,472.04,3.14,3.14,0.66965,0.66965
2025-11-12,CE,25875.8,27450.0,34.0,0.07474485900131601,0.1,21.0,20.0,14.65,-6.35,-5.35,-30.2381,-26.75
2025-11-12,CE,25875.8,26200.0,34.0,0.07474485900131601,0.1,286.75,286.75,296.92,10.17,10.17,3.54664,3.54664
2025-11-12,CE,25875.8,25800.0,34.0,0.07474485900131601,0.1,505.5,504.8,540.73,35.23,35.93,6.96934,7.11767
2025-11-12,CE,25875.8,26500.0,34.0,0.07474485900131601,0.1,160.8,158.35,170.33,9.53,11.98,5.92662,7.56552
2025-11-12,CE,25875.8,26350.0,34.0,0.07474485900131601,0.1,222.35,222.35,227.63,5.28,5.28,2.37463,2.37463
2025-11-12,PE,25875.8,25600.0,34.0,0.07474485900131601,0.1,151.85,155.5,72.88,-78.97,-82.62,-52.00527,-53.13183
2025-11-12,PE,25875.8,25000.0,34.0,0.07474485900131601,0.1,60.4,63.05,11.34,-49.06,-51.71,-81.22517,-82.01427
2025-11-12,PE,25875.8,25700.0,34.0,0.07474485900131601,0.1,182.95,185.0,93.88,-89.07,-91.12,-48.68543,-49.25405
2025-11-12,CE,25875.8,26100.0,34.0,0.07474485900131601,0.1,334.35,334.35,349.93,15.58,15.58,4.65979,4.65979
2025-11-12,CE,25875.8,25850.0,34.0,0.07474485900131601,0.1,451.6,451.6,505.78,54.18,54.18,11.99734,11.99734
2025-11-12,PE,25875.8,25900.0,34.0,0.07474485900131601,0.1,242.65,250.0,149.14,-93.51,-100.86,-38.53699,-40.344
